Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
253,0.007634,-0.267176,-0.015267,-0.000977,-0.009033,1.008545,0.00,0.00,0.00
254,-0.038168,0.114504,-0.129771,0.000000,-0.005859,0.992676,0.00,0.00,0.00
255,0.091603,-0.175573,-0.190840,0.003906,-0.005127,0.996826,0.00,0.00,0.00
256,0.122137,-0.099237,0.061069,-0.000488,-0.003418,0.998291,0.00,0.00,0.00
257,0.022901,0.038168,0.076336,0.008057,-0.006836,1.009766,0.00,0.00,0.00
258,-0.015267,-0.366412,0.007634,0.003174,-0.008301,1.000977,0.00,0.00,0.00
259,0.160305,-0.076336,-0.068702,0.006348,-0.008057,0.998047,0.00,0.00,0.00
260,-0.053435,-0.022901,-0.015267,-0.000732,-0.005615,1.003418,0.00,0.00,0.00
261,-0.129771,-0.099237,-0.183206,-0.001221,-0.011230,1.013428,0.00,0.00,0.00
262,0.137405,0.068702,0.045802,0.006836,-0.017090,1.000488,0.00,0.00,0.00
263,-0.053435,-0.022901,-0.030534,0.001221,-0.004639,1.006836,0.00,0.00,0.00
264,0.061069,0.022901,0.045802,0.001221,-0.006348,0.988770,0.00,0.00,0.00
265,-0.053435,-0.229008,0.091603,-0.002686,-0.008789,0.995605,0.00,0.00,0.00
266,0.091603,-0.083969,-0.053435,0.004883,-0.003906,0.993896,0.00,0.00,0.00
267,0.068702,-0.091603,-0.106870,0.005127,-0.008057,0.998779,0.00,0.00,0.00
268,0.145038,-0.053435,-0.175573,-0.000488,-0.006592,1.009277,0.00,0.00,0.00
269,0.137405,0.160305,-0.061069,0.003906,-0.010498,1.005859,0.00,0.00,0.00
270,0.030534,-0.320611,-0.190840,-0.001953,-0.009277,0.992188,0.00,0.00,0.00
271,-0.061069,-0.083969,-0.015267,0.000488,-0.005127,1.002441,0.00,0.00,0.00
272,-0.045802,0.030534,-0.022901,-0.002441,-0.008301,1.000244,0.00,0.00,0.00
273,-0.038168,-0.198473,-0.038168,0.000977,-0.008057,0.993652,0.00,0.00,0.00
274,0.129771,0.137405,0.022901,0.000977,-0.014160,1.006348,0.00,0.00,0.00
275,-0.045802,-0.259542,-0.007634,-0.002930,-0.006104,0.994873,0.00,0.00,0.00
276,-0.229008,-0.167939,-0.137405,-0.004150,-0.009277,0.993164,0.00,0.00,0.00
277,-0.022901,0.053435,-0.099237,0.003906,-0.006592,0.989502,0.00,0.00,0.00
278,-0.007634,-0.305344,-0.267176,0.004395,-0.012207,0.993652,0.00,0.00,0.00
279,0.114504,0.145038,-0.229008,0.001221,-0.011719,1.000488,0.00,0.00,0.00
280,-0.106870,-0.091603,0.076336,0.002441,-0.011475,1.004395,0.00,0.00,0.00
281,0.137405,0.015267,0.030534,0.002441,-0.008301,1.003418,0.00,0.00,0.00
282,0.145038,0.022901,-0.007634,0.002441,-0.005371,1.001465,0.00,0.00,0.00
283,-0.015267,-0.007634,-0.083969,0.005859,0.000488,1.000244,0.00,0.00,0.00
284,0.045802,0.045802,-0.091603,0.001465,-0.007080,0.997070,0.00,0.00,0.00
285,-0.129771,-0.175573,0.007634,0.007324,-0.009277,0.987549,0.00,0.00,0.00
286,-0.045802,0.030534,-0.137405,-0.003662,-0.005127,1.004639,0.00,0.00,0.00
