Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
269,0.06870,-0.07634,-0.16031,0.08984,-0.07593,0.99170,0.00,0.00,0.00
270,0.11450,-0.03817,-0.25954,0.08813,-0.07104,0.99780,0.00,0.00,0.00
271,-0.28244,-0.30534,-0.30534,0.08765,-0.07129,0.98389,0.00,0.00,0.00
272,-0.12977,0.19847,-0.24427,0.08862,-0.06738,0.98975,0.00,0.00,0.00
273,-0.06107,-0.15267,-0.03817,0.08813,-0.07349,0.99561,0.00,0.00,0.00
274,-0.09160,0.06870,-0.20611,0.08862,-0.06909,0.98730,0.00,0.00,0.00
275,-0.12214,-0.16031,-0.15267,0.08862,-0.07349,0.98804,0.00,0.00,0.00
276,-0.21374,0.00763,-0.09160,0.09106,-0.06689,0.99292,0.00,0.00,0.00
277,-0.04580,0.22137,0.00763,0.09351,-0.07837,0.98804,0.00,0.00,0.00
278,-0.02290,0.27481,-0.22137,0.08765,-0.07324,0.99292,0.00,0.00,0.00
279,-0.09924,0.21374,-0.00763,0.09058,-0.06982,0.98169,0.00,0.00,0.00
280,-0.13740,0.01527,-0.21374,0.09326,-0.07349,0.98560,0.00,0.00,0.00
281,-0.02290,0.01527,-0.04580,0.08545,-0.07031,0.99194,0.00,0.00,0.00
282,-0.15267,-0.03817,0.03053,0.08911,-0.07275,0.99707,0.00,0.00,0.00
283,0.06870,0.17557,-0.29771,0.08716,-0.07617,0.97949,0.00,0.00,0.00
284,-0.19084,0.19847,-0.06107,0.08960,-0.06860,0.98853,0.00,0.00,0.00
285,0.00763,0.02290,-0.11450,0.09204,-0.06714,0.99121,0.00,0.00,0.00
286,0.03817,0.01527,-0.02290,0.08325,-0.07446,0.99243,0.00,0.00,0.00
